0|0|0|30|46|61||"148910019"|"92019467"
30|46|61|46||76|"Wet"|"148910019"|"92019468"
0|0|0|46|69|91||"148909544"|"92019159"
46|69|91|183|183|183|"Wet"|"148909544"|"92019160"
0|0|0|46|54|61||"149033930"|"92046777"
46|54|61|183|183|183|"Wet"|"149033930"|"92046778"
0|0|0|183|183|183|"Wet"|"148904097"|"92014720"
0|0|0|183|183|183|"Wet"|"148902966"|"92013706"
0|0|0|183|183|183|"Wet"|"148914047"|"92023325"
46||76|183|183|183||"148910018"|"92019463"
0|0|0|30|46|61||"148910018"|"92019464"
30|46|61|46||76|"Wet"|"148910018"|"92019465"
30||46|183|183|183||"148910140"|"92019622"
0|0|0|15|23|30||"148910140"|"92019623"
15|23|30|30||46|"Wet"|"148910140"|"92019624"
30||46|183|183|183||"148913559"|"92022894"
0|0|0|15|23|30||"148913559"|"92022895"
15|23|30|30||46|"Wet"|"148913559"|"92022896"
46||76|183|183|183||"148908826"|"92018698"
0|0|0|30|46|61||"148908826"|"92018699"
30|46|61|46||76|"Wet"|"148908826"|"92018700"
61||91|183|183|183||"149035730"|"92047656"
0|0|0|46|61|76||"149035730"|"92047657"
46|61|76|61||91|"Wet"|"149035730"|"92047658"
183||183|183|183|183||"149035180"|"92047435"
0|0|0|0|15|30||"149035180"|"92047436"
0|15|30|183||183|"Wet"|"149035180"|"92047437"
30||46|183|183|183||"148907178"|"92017186"
0|0|0|15|23|30||"148907178"|"92017187"
15|23|30|30||46|"Wet"|"148907178"|"92017188"
0|0|0|46|54|61||"148904186"|"92014748"
46|54|61|183|183|183|"Wet"|"148904186"|"92014749"
61||91|183|183|183||"148910044"|"92019493"
0|0|0|46|61|76||"148910044"|"92019494"
46|61|76|61||91|"Wet"|"148910044"|"92019495"
0|0|0|183|183|183|"Wet"|"148911153"|"92020601"
61||91|183|183|183||"148904958"|"92015399"
0|0|0|46|61|76||"148904958"|"92015400"
46|61|76|61||91|"Wet"|"148904958"|"92015401"
0|0|0|183|183|183|"Wet"|"148902216"|"92013119"
46||76|183|183|183||"148912224"|"92021722"
0|0|0|30|46|61||"148912224"|"92021723"
30|46|61|46||76|"Wet"|"148912224"|"92021724"
46||76|183|183|183||"148905787"|"92016206"
0|0|0|30|46|61||"148905787"|"92016207"
30|46|61|46||76|"Wet"|"148905787"|"92016208"
30||46|183|183|183||"148907294"|"92017344"
0|0|0|15|23|30||"148907294"|"92017345"
15|23|30|30||46|"Wet"|"148907294"|"92017346"
0|0|0|0|15|30||"148907782"|"92017801"
0|15|30|183|183|183|"Wet"|"148907782"|"92017802"
0|0|0|183|183|183|"Wet"|"148910177"|"92019655"
30||46|183|183|183||"148902747"|"92013444"
0|0|0|15|23|30||"148902747"|"92013445"
15|23|30|30||46|"Wet"|"148902747"|"92013446"
30||46|183|183|183||"148907296"|"92017350"
0|0|0|15|23|30||"148907296"|"92017351"
15|23|30|30||46|"Wet"|"148907296"|"92017352"
0|0|0|183|183|183|"Wet"|"148903572"|"92014273"
0|0|0|183|183|183|"Wet"|"148911723"|"92021209"
0|0|0|15|31|46||"148911992"|"92021457"
15|31|46|183|183|183|"Wet"|"148911992"|"92021458"
30||46|183|183|183||"148908919"|"92018734"
0|0|0|15|23|30||"148908919"|"92018735"
15|23|30|30||46|"Wet"|"148908919"|"92018736"
46||76|183|183|183||"148908816"|"92018677"
0|0|0|30|46|61||"148908816"|"92018678"
30|46|61|46||76|"Wet"|"148908816"|"92018679"
30||61|183|183|183||"148910652"|"92020089"
0|0|0|15|31|46||"148910652"|"92020090"
15|31|46|30||61|"Wet"|"148910652"|"92020091"
30||61|183|183|183||"148913548"|"92022870"
0|0|0|15|31|46||"148913548"|"92022871"
15|31|46|30||61|"Wet"|"148913548"|"92022872"
0|0|0|183|183|183|"Wet"|"149034167"|"92046984"
61||91|183|183|183||"149033967"|"92046824"
0|0|0|46|61|76||"149033967"|"92046825"
46|61|76|61||91|"Wet"|"149033967"|"92046826"
61||107|183|183|183||"148910796"|"92020270"
0|0|0|46|69|91||"148910796"|"92020271"
46|69|91|61||107|"Wet"|"148910796"|"92020272"
0|0|0|183|183|183|"Wet"|"148909690"|"92019262"
0|0|0|0|15|30||"148911504"|"92021072"
0|15|30|183|183|183|"Wet"|"148911504"|"92021073"
0|0|0|0|23|46||"149035605"|"92047620"
