"Silt loam"||"80922855"|"82350184"
"Coarse sandy loam"||"80923672"|"82351007"
"Sandy loam"||"80860472"|"82286448"
"Clay"||"80861900"|"82287880"
"Sandy loam"||"80859212"|"82285182"
"Fine sandy loam"||"80858739"|"82284708"
"Fine sandy loam"||"80856861"|"82282824"
"Sandy loam"||"80856862"|"82282825"
"Sandy loam"||"80856983"|"82282947"
"Sandy loam"||"80860639"|"82286615"
"Clay"||"80861319"|"82287298"
"Sandy loam"||"80861871"|"82287851"
"Loam"||"80856545"|"82282506"
"Fine sandy loam"||"80855656"|"82281616"
"Loamy fine sand"||"80856144"|"82282105"
"Fine sandy loam"||"80859857"|"82285832"
"Sand"||"80856159"|"82282120"
"Sand"||"80855157"|"82281116"
"Sandy loam"||"80923440"|"82350773"
"Loamy sand"||"80922612"|"82349935"
"Loam"||"80857105"|"82283069"
"Coarse sand"||"80861134"|"82287112"
"Silt loam"||"80856460"|"82282421"
"Silt loam"||"80855912"|"82281872"
"Sandy loam"||"80858356"|"82284325"
"Silt loam"||"80858555"|"82284524"
"Silt loam"||"80855342"|"82281302"
"Silty clay"||"80858661"|"82284630"
"Fine sandy loam"||"80855585"|"82281545"
"Sandy loam"||"80860618"|"82286594"
"Silt loam"||"80861775"|"82287755"
"Very fine sandy loam"||"80859637"|"82285611"
"Silt loam"||"80860691"|"82286667"
"Very fine sandy loam"||"80856898"|"82282861"
"Sandy loam"||"80856387"|"82282348"
"Loam"||"80861629"|"82287609"
"Loam"||"80860583"|"82286559"
|"Muck"|"80859452"|"82285426"
"Loam"||"80923620"|"82350955"
"Loam"||"80859696"|"82285670"
"Coarse sand"||"80858877"|"82284846"
"Fine sandy loam"||"80859758"|"82285733"
"Loamy fine sand"||"80855515"|"82281475"
|"Muck"|"80859208"|"82285178"
"Loam"||"80860949"|"82286926"
"Coarse sand"||"80857773"|"82283741"
"Silt loam"||"80855411"|"82281371"
"Silt loam"||"80857996"|"82283965"
"Silt loam"||"80924248"|"82351583"
"Loam"||"80860175"|"82286150"
"Silt loam"||"80856643"|"82282605"
"Sand"||"80858612"|"82284581"
"Sandy loam"||"80858774"|"82284743"
"Sand"||"80859177"|"82285147"
"Fine sandy loam"||"80861243"|"82287222"
"Coarse sand"||"80857725"|"82283693"
|"Unweathered bedrock"|"80860489"|"82286465"
"Loam"||"80859487"|"82285461"
"Fine sandy loam"||"80857798"|"82283766"
"Clay loam"||"80855329"|"82281289"
"Silt loam"||"80924291"|"82351626"
"Loam"||"80857558"|"82283526"
"Silt loam"||"80855906"|"82281866"
"Loam"||"80857092"|"82283056"
"Silt loam"||"80859373"|"82285347"
"Loam"||"80861280"|"82287259"
"Sandy loam"||"80860581"|"82286557"
"Sandy loam"||"80859694"|"82285668"
"Silt loam"||"80855244"|"82281204"
"Silt loam"||"80859513"|"82285487"
"Silt loam"||"80856735"|"82282698"
"Sand"||"80856065"|"82282025"
"Sandy loam"||"80922661"|"82349986"
"Sandy loam"||"80860936"|"82286913"
"Coarse sand"||"80855015"|"82280974"
"Sandy loam"||"80922687"|"82350013"
"Silt loam"||"80860060"|"82286035"
"Silt loam"||"80857541"|"82283509"
|"Unweathered bedrock"|"80859051"|"82285020"
"Fine sandy loam"||"80856793"|"82282756"
"Loam"||"80923637"|"82350972"
"Loam"||"80859510"|"82285484"
"Loamy very fine sand"||"80857342"|"82283307"
"Sand"||"80923372"|"82350704"
"Sand"||"80923707"|"82351042"
